[1599062134] 0 (0)
[1599062164] 0 (0)
[1599062194] 0 (0)
[1599062224] 0 (0)
[1599062254] 0 (0)
[1599062284] 0 (0)
[1599062314] 0 (0)
[1599062344] 0 (0)
[1599062374] 0 (0)
[1599062404] 0 (0)
[1599062434] 0 (0)
[1599062464] 0 (0)
[1599062494] 0 (0)
[1599062524] 0 (0)
[1599062554] 0 (0)
[16:02:41 02/09/2020] (0) 0
[16:03:11 02/09/2020] (0) 0
[16:03:41 02/09/2020] (0) 0
[16:04:11 02/09/2020] (0) 0
[16:04:41 02/09/2020] (0) 0
[16:05:11 02/09/2020] (0) 0
[16:05:41 02/09/2020] (0) 0
[16:06:11 02/09/2020] (0) 0
[16:06:41 02/09/2020] (0) 0
[16:07:11 02/09/2020] (0) 0
[16:07:16 02/09/2020] (0) 1
[16:07:30 02/09/2020] (0) 0
[16:12:43 02/09/2020] (0) 0
[16:13:13 02/09/2020] (0) 2
[16:13:43 02/09/2020] (0) 0
[16:14:13 02/09/2020] (0) 0
[16:14:43 02/09/2020] (0) 0
[16:15:13 02/09/2020] (0) 0
[16:15:43 02/09/2020] (0) 0
[16:16:13 02/09/2020] (0) 0
[16:16:43 02/09/2020] (0) 0
[16:17:13 02/09/2020] (0) 0
[16:17:44 02/09/2020] (0) 0
[16:18:14 02/09/2020] (0) 0
[16:18:44 02/09/2020] (0) 0
[16:19:14 02/09/2020] (0) 2
[16:19:44 02/09/2020] (0) 0
[16:20:14 02/09/2020] (0) 0
[16:20:44 02/09/2020] (0) 0
[16:21:14 02/09/2020] (0) 0
[16:21:44 02/09/2020] (0) 0
[16:22:14 02/09/2020] (0) 0
[16:22:44 02/09/2020] (0) 0
[16:23:14 02/09/2020] (0) 0
[16:23:44 02/09/2020] (0) 0
[16:24:14 02/09/2020] (0) 0
[16:24:44 02/09/2020] (0) 0
[16:25:14 02/09/2020] (0) 0
[16:25:44 02/09/2020] (0) 0
[16:26:14 02/09/2020] (0) 0
[16:26:44 02/09/2020] (0) 0
[16:27:14 02/09/2020] (0) 0
[16:27:17 02/09/2020] (0) 0
[16:27:46 02/09/2020] (0) 0
[16:28:16 02/09/2020] (0) 1
[16:28:46 02/09/2020] (0) 0
[16:29:16 02/09/2020] (0) 0
[16:29:46 02/09/2020] (0) 0
[16:30:16 02/09/2020] (0) 0
[16:30:46 02/09/2020] (0) 0
[16:31:16 02/09/2020] (0) 0
[16:31:46 02/09/2020] (0) 0
[16:32:16 02/09/2020] (0) 0
[16:32:37 02/09/2020] (0) 0
[16:33:07 02/09/2020] (0) 3
[16:33:37 02/09/2020] (0) 0
[16:34:07 02/09/2020] (0) 0
[16:34:37 02/09/2020] (0) 0
[16:35:07 02/09/2020] (0) 0
[16:35:37 02/09/2020] (0) 0
[16:36:07 02/09/2020] (0) 0
[16:36:34 02/09/2020] (0) 0
[16:37:04 02/09/2020] (0) 1
[16:37:13 02/09/2020] (0) 0
[16:37:43 02/09/2020] (0) 9
[16:38:13 02/09/2020] (0) 0
[16:38:43 02/09/2020] (0) 3
[16:39:13 02/09/2020] (0) 0
[16:39:43 02/09/2020] (0) 0
[16:40:13 02/09/2020] (0) 0
[16:40:43 02/09/2020] (0) 0
[16:41:13 02/09/2020] (0) 0
[16:41:43 02/09/2020] (0) 0
[16:42:13 02/09/2020] (0) 0
[16:42:43 02/09/2020] (0) 0
[16:43:13 02/09/2020] (0) 0
[16:43:43 02/09/2020] (0) 0
